Continent,ISO_code,Country,WHO_Region,pop_year,age,gender,population,Vaccine,vac_year,Percent_covrage,vac_population,deaths_averted_1000FVP,mid,low,high,vac_deaths_averted,suspension_period,covid_deaths,benefit_risk_ratio
Africa,COG,Congo (the),AFR,2020,0,both,166656,YFV,2018,83,138324.48,1.7 (0.44-3.9),1.7,0.44,3.9,235.151616,0.5,6.75845953455082,17.3968353881421
Africa,COM,Comoros (the),AFR,2020,0,both,25189,HepB3,2018,91,22921.99,0.13 (0.03-0.42),0.13,0.03,0.42,2.9798587,0.5,2.99090889610792,0.498152702657995
Africa,COM,Comoros (the),AFR,2020,0,both,25189,Hib3,2018,91,22921.99,3.3 (0.95-5.6),3.3,0.95,5.6,75.642567,0.5,2.99090889610792,12.6454147597799
Africa,COM,Comoros (the),AFR,2020,0,both,25189,MCV1,2018,90,22670.1,16 (9.1-22),16,9.1,22,362.7216,0.5,1.10764886659412,163.734921300161
Africa,CPV,Cabo Verde,AFR,2020,0,both,10022,HepB3,2018,98,9821.56,0.21 (0.04-0.75),0.21,0.04,0.75,2.0625276,0.5,1.28153756186342,0.804708211985992
Africa,CPV,Cabo Verde,AFR,2020,0,both,10022,Hib3,2018,98,9821.56,0.81 (0.27-1.4),0.81,0.27,1.4,7.9554636,0.5,1.28153756186342,3.10387453194597
Africa,CPV,Cabo Verde,AFR,2020,0,both,10022,MCV1,2018,99,9921.78,9.6 (5.9-16),9.6,5.9,16,95.249088,0.5,0.484772822863427,98.2409527800965
Africa,CPV,Cabo Verde,AFR,2020,1,both,10259,MCV2,2018,88,9027.92,,,,,,0.5,0.441099305062719,
Africa,CPV,Cabo Verde,AFR,2020,0,both,10022,RCV1,2018,99,9921.78,,,,,,0.5,0.484772822863427,
Africa,DJI,Djibouti,EMR,2020,0,both,18870,HepB3,2018,84,15850.8,0.07 (0.03-0.15),0.07,0.03,0.15,1.109556,0.5,2.06824532819478,0.268236070661997
Africa,DJI,Djibouti,EMR,2020,0,both,18870,Hib3,2018,84,15850.8,2.4 (1-3.7),2.4,1,3.7,38.04192,0.5,2.06824532819478,9.19666527983991
Africa,DJI,Djibouti,EMR,2020,0,both,18870,MCV1,2018,86,16228.2,8.8 (6-13),8.8,6,13,142.80816,0.5,0.792901104841295,90.0542067150885
Africa,DJI,Djibouti,EMR,2020,1,both,19591,MCV2,2018,81,15868.71,,,,,,0.5,0.775336617209925,
Africa,DJI,Djibouti,EMR,2020,0,both,18870,PCV3,2018,84,15850.8,2.3 (1.1-3.7),2.3,1.1,3.7,36.45684,0.5,2.06824532819478,8.81347089317992
Africa,DJI,Djibouti,EMR,2020,0,both,18870,RotaC,2018,87,16416.9,1.2 (0.39-2.4),1.2,0.39,2.4,19.70028,0.5,1.51267355975457,6.51174203216598
Africa,DZA,Algeria,AFR,2020,0,both,1010613,HepB3,2018,95,960082.35,,,,,,0.5,125.273540456618,
Africa,DZA,Algeria,AFR,2020,0,both,1010613,Hib3,2018,95,960082.35,,,,,,0.5,125.273540456618,
Africa,DZA,Algeria,AFR,2020,0,both,1010613,MCV1,2018,80,808490.4,,,,,,0.5,39.5024051597577,
Africa,DZA,Algeria,AFR,2020,1,both,1015481,MCV2,2018,77,781920.37,,,,,,0.5,38.2042078154641,
Africa,DZA,Algeria,AFR,2020,0,both,1010613,PCV3,2018,95,960082.35,,,,,,0.5,125.273540456618,
Africa,DZA,Algeria,AFR,2020,0,both,1010613,RCV1,2018,80,808490.4,,,,,,0.5,39.5024051597577,
Africa,EGY,Egypt,EMR,2020,0,both,2326674,HepB3,2018,95,2210340.3,0.04 (0.03-0.04),0.04,0.03,0.04,88.413612,0.5,288.409796300227,0.153277754663999
Africa,EGY,Egypt,EMR,2020,0,both,2326674,Hib3,2018,95,2210340.3,0.91 (0.28-1.5),0.91,0.28,1.5,2011.409673,0.5,288.409796300227,3.48706891860597
Africa,EGY,Egypt,EMR,2020,0,both,2326674,MCV1,2018,94,2187073.56,1.9 (-0.05-3.1),1.9,0.05,3.1,4155.439764,0.5,106.859235287536,19.4435219043941
Africa,EGY,Egypt,EMR,2020,1,both,2486022,MCV2,2018,94,2336860.68,,,,,,0.5,114.177753234011,
Africa,ERI,Eritrea,AFR,2020,0,both,106922,HepB3,2018,95,101575.9,0.11 (0.05-0.21),0.11,0.05,0.21,11.173349,0.5,13.2538345466588,0.421513825325996
Africa,ERI,Eritrea,AFR,2020,0,both,106922,Hib3,2018,95,101575.9,1.8 (0.66-2.8),1.8,0.66,2.8,182.83662,0.5,13.2538345466588,6.89749895987993
Africa,ERI,Eritrea,AFR,2020,0,both,106922,MCV1,2018,93,99437.46,18 (6.9-26),18,6.9,26,1789.87428,0.5,4.85846069783538,184.201786462681
Africa,ERI,Eritrea,AFR,2020,1,both,101411,MCV2,2018,85,86199.35,,,,,,0.5,4.21165377870629,
Africa,ERI,Eritrea,AFR,2020,0,both,106922,PCV3,2018,95,101575.9,1.7 (0.73-3),1.7,0.73,3,172.67903,0.5,13.2538345466588,6.51430457321994
Africa,ERI,Eritrea,AFR,2020,0,both,106922,RCV1,2018,93,99437.46,,,,,,0.5,4.85846069783538,
Africa,ERI,Eritrea,AFR,2020,0,both,106922,RotaC,2018,96,102645.12,0.62 (0.26-1.2),0.62,0.26,1.2,63.6399744,0.5,9.45784886682842,3.36440004995242
Africa,ETH,Ethiopia,AFR,2020,0,both,3477059,HepB3,2018,95,3303206.05,0.11 (0.01-0.44),0.11,0.01,0.44,363.3526655,0.5,431.009190764959,0.421513825325996
